,Labels,Model,Layer,Correlation
0,0BK_BODY,DA,1,0.2767404510917888
1,0BK_BODY,PT,1,0.20239771075227198
2,0BK_BODY,AE,1,0.43782931493209537
3,0BK_BODY,DA,2,0.43462231448295946
4,0BK_BODY,PT,2,0.5135000922750327
5,0BK_BODY,AE,2,0.514947204338076
6,0BK_BODY,DA,3,0.4129525604279607
7,0BK_BODY,PT,3,0.8736541612687156
8,0BK_BODY,AE,3,0.8349645815149196
9,0BK_BODY,DA,4,0.7159017731492422
10,0BK_BODY,PT,4,0.727043140184997
11,0BK_BODY,AE,4,0.8900124449604719
12,0BK_PLACE,DA,1,0.3270874542551642
13,0BK_PLACE,PT,1,0.2446129876799577
14,0BK_PLACE,AE,1,0.5078842295751248
15,0BK_PLACE,DA,2,0.49738197210670465
16,0BK_PLACE,PT,2,0.5900568308704849
17,0BK_PLACE,AE,2,0.5912208994969205
18,0BK_PLACE,DA,3,0.5033819161220868
19,0BK_PLACE,PT,3,0.9103254870943269
20,0BK_PLACE,AE,3,0.8802006023922614
21,0BK_PLACE,DA,4,0.7901831663167125
22,0BK_PLACE,PT,4,0.8286221062603667
23,0BK_PLACE,AE,4,0.9276232855415283
24,0BK_TOOL,DA,1,0.29152341395637343
25,0BK_TOOL,PT,1,0.21664405845485205
26,0BK_TOOL,AE,1,0.45862057053039107
27,0BK_TOOL,DA,2,0.4495820284974568
28,0BK_TOOL,PT,2,0.5330735425259767
29,0BK_TOOL,AE,2,0.5348490642287753
30,0BK_TOOL,DA,3,0.45363942948755015
31,0BK_TOOL,PT,3,0.878309929652825
32,0BK_TOOL,AE,3,0.855636096496569
33,0BK_TOOL,DA,4,0.7487673654506124
34,0BK_TOOL,PT,4,0.8109436574736203
35,0BK_TOOL,AE,4,0.9137282545474018
36,2BK_BODY,DA,1,0.2541315652025116
37,2BK_BODY,PT,1,0.18482279684051994
38,2BK_BODY,AE,1,0.41485207651013717
39,2BK_BODY,DA,2,0.4172698712134039
40,2BK_BODY,PT,2,0.49223359524958515
41,2BK_BODY,AE,2,0.4937901867977844
42,2BK_BODY,DA,3,0.3957259649198835
43,2BK_BODY,PT,3,0.884274930056091
44,2BK_BODY,AE,3,0.8495423451648344
45,2BK_BODY,DA,4,0.7214058487555677
46,2BK_BODY,PT,4,0.80154780890785
47,2BK_BODY,AE,4,0.9186315420523733
48,2BK_TOOL,DA,1,0.30763005299131013
49,2BK_TOOL,PT,1,0.22861670648892096
50,2BK_TOOL,AE,1,0.4849876399929108
51,2BK_TOOL,DA,2,0.47461403184657686
52,2BK_TOOL,PT,2,0.5649612349374881
53,2BK_TOOL,AE,2,0.5672830616565162
54,2BK_TOOL,DA,3,0.4889710973484938
55,2BK_TOOL,PT,3,0.9068278691799593
56,2BK_TOOL,AE,3,0.876533402202761
57,2BK_TOOL,DA,4,0.7891776878270028
58,2BK_TOOL,PT,4,0.8590874996872297
59,2BK_TOOL,AE,4,0.9370271231383775
60,PUNISH,DA,1,0.2965415303386819
61,PUNISH,PT,1,0.21824411047430783
62,PUNISH,AE,1,0.465439661024284
63,PUNISH,DA,2,0.4445054211899516
64,PUNISH,PT,2,0.5363471437582897
65,PUNISH,AE,2,0.5395518715850313
66,PUNISH,DA,3,0.46279654121882663
67,PUNISH,PT,3,0.8933100543427575
68,PUNISH,AE,3,0.8603867989361937
69,PUNISH,DA,4,0.6906602304926318
70,PUNISH,PT,4,0.7997342933991665
71,PUNISH,AE,4,0.9176912293120841
72,REL,DA,1,0.4273514485884379
73,REL,PT,1,0.3304835710059336
74,REL,AE,1,0.6140225237581223
75,REL,DA,2,0.5950712567963219
76,REL,PT,2,0.6872745141822759
77,REL,AE,2,0.689440502514612
78,REL,DA,3,0.5326178977278274
79,REL,PT,3,0.910755243309599
80,REL,AE,3,0.8729468884687932
81,REL,DA,4,0.7384021723485499
82,REL,PT,4,0.794261425159944
83,REL,AE,4,0.9098610881517545
84,REWARD,DA,1,0.3210272937154082
85,REWARD,PT,1,0.23885438840973355
86,REWARD,AE,1,0.4934786346300169
87,REWARD,DA,2,0.473681337805303
88,REWARD,PT,2,0.5654815110388671
89,REWARD,AE,2,0.5683763645750581
90,REWARD,DA,3,0.47870405441134506
91,REWARD,PT,3,0.8963301185248953
92,REWARD,AE,3,0.8691518940220407
93,REWARD,DA,4,0.7080678749387146
94,REWARD,PT,4,0.7761680660166361
95,REWARD,AE,4,0.920561389212082
